Name,PointValue,TickSize,Url
CB,1,0.01,http://finance.yahoo.com/q?s=CB
CBOE,1,0.01,https://finance.yahoo.com/quote/CBOE/
CBRE,1,0.01,http://finance.yahoo.com/q?s=CBRE
CCI,1,0.01,http://finance.yahoo.com/q?s=CCI
CCL,1,0.01,http://finance.yahoo.com/q?s=CCL
CDNS,1,0.01,https://finance.yahoo.com/quote/CDNS/
CDW,1,0.01,https://finance.yahoo.com/quote/cdw
CE,1,0.01,http://finance.yahoo.com/q?s=CE
CERN,1,0.01,http://finance.yahoo.com/q?s=CERN
CF,1,0.01,http://finance.yahoo.com/q?s=CF
CFG,1,0.01,http://finance.yahoo.com/q?s=CFG
CHD,1,0.01,http://finance.yahoo.com/q?s=CHD
CHRW,1,0.01,http://finance.yahoo.com/q?s=chrw
CHTR,1,0.01,http://finance.yahoo.com/q?s=CHTR
CI,1,0.01,http://finance.yahoo.com/q?s=CI
CINF,1,0.01,http://finance.yahoo.com/q?s=CINF
CL,1,0.01,http://finance.yahoo.com/q?s=CL
CLX,1,0.01,http://finance.yahoo.com/q?s=CLX
CMA,1,0.01,http://finance.yahoo.com/q?s=CMA
CMCSA,1,0.01,http://finance.yahoo.com/q?s=cmcsa
CME,1,0.01,http://finance.yahoo.com/q?s=CME
CMG,1,0.01,http://finance.yahoo.com/q?s=CMG
CMI,1,0.01,http://finance.yahoo.com/q?s=CMI
CMS,1,0.01,http://finance.yahoo.com/q?s=CMS
CNC,1,0.01,http://finance.yahoo.com/q?s=CNC
CNP,1,0.01,http://finance.yahoo.com/q?s=CNP
COF,1,0.01,http://finance.yahoo.com/q?s=COF
COG,1,0.01,http://finance.yahoo.com/q?s=COG
COO,1,0.01,https://finance.yahoo.com/quote/COO/?p=COO
COP,1,0.01,http://finance.yahoo.com/q?s=COP
COST,1,0.01,http://finance.yahoo.com/q?s=cost
CPB,1,0.01,http://finance.yahoo.com/q?s=CPB
CPRT,1,0.01,http://finance.yahoo.com/q?s=CPRT
CRL,1,0.01,https://finance.yahoo.com/quote/CRL
CRM,1,0.01,http://finance.yahoo.com/q?s=CRM
CSCO,1,0.01,http://finance.yahoo.com/q?s=csco
CSX,1,0.01,http://finance.yahoo.com/q?s=CSX
CTAS,1,0.01,http://finance.yahoo.com/q?s=ctas
CTLT,1,0.01,https://finance.yahoo.com/quote/CTLT
CTSH,1,0.01,http://finance.yahoo.com/q?s=ctsh
CTVA,1,0.01,https://finance.yahoo.com/quote/CTVA
CTXS,1,0.01,http://finance.yahoo.com/q?s=ctxs
CVS,1,0.01,http://finance.yahoo.com/q?s=CVS
CVX,1,0.01,http://finance.yahoo.com/q?s=CVX
CZR,1,0.01,https://finance.yahoo.com/quote/CZR
D,1,0.01,http://finance.yahoo.com/q?s=D
DAL,1,0.01,http://finance.yahoo.com/q?s=DAL
DD,1,0.01,http://finance.yahoo.com/q?s=dd
DE,1,0.01,http://finance.yahoo.com/q?s=DE
DFS,1,0.01,http://finance.yahoo.com/q?s=DFS
DG,1,0.01,http://finance.yahoo.com/q?s=DG
DGX,1,0.01,http://finance.yahoo.com/q?s=DGX
DHI,1,0.01,http://finance.yahoo.com/q?s=DHI
DHR,1,0.01,http://finance.yahoo.com/q?s=DHR
DIS,1,0.01,http://finance.yahoo.com/q?s=dis
DISCA,1,0.01,http://finance.yahoo.com/q?s=DISCA
DISCK,1,0.01,http://finance.yahoo.com/q?s=DISCK
DISH,1,0.01,http://finance.yahoo.com/q?s=DISH
DLR,1,0.01,https://finance.yahoo.com/quote/DLR/?p=DLR
DLTR,1,0.01,http://finance.yahoo.com/q?s=DLTR
DOV,1,0.01,http://finance.yahoo.com/q?s=DOV
DOW,1,0.01,http://finance.yahoo.com/q?s=DOW
DPZ,1,0.01,https://finance.yahoo.com/quote/DPZ
DRE,1,0.01,https://finance.yahoo.com/quote/DRE/
DRI,1,0.01,http://finance.yahoo.com/q?s=DRI
DTE,1,0.01,http://finance.yahoo.com/q?s=DTE
DUK,1,0.01,http://finance.yahoo.com/q?s=DUK
DVA,1,0.01,http://finance.yahoo.com/q?s=DVA
DVN,1,0.01,http://finance.yahoo.com/q?s=DVN
DXC,1,0.01,https://finance.yahoo.com/quote/DXC/
DXCM,1,0.01,https://finance.yahoo.com/quote/DXCM/
EA,1,0.01,http://finance.yahoo.com/q?s=es
EBAY,1,0.01,http://finance.yahoo.com/q?s=ebay
ECL,1,0.01,http://finance.yahoo.com/q?s=ECL
ED,1,0.01,http://finance.yahoo.com/q?s=ED
EFX,1,0.01,http://finance.yahoo.com/q?s=EFX
EIX,1,0.01,http://finance.yahoo.com/q?s=EIX
EL,1,0.01,http://finance.yahoo.com/q?s=EL
EMN,1,0.01,http://finance.yahoo.com/q?s=EMN
EMR,1,0.01,http://finance.yahoo.com/q?s=EMR
ENPH,1,0.01,https://finance.yahoo.com/quote/ENPH
EOG,1,0.01,http://finance.yahoo.com/q?s=EOG
EQIX,1,0.01,http://finance.yahoo.com/q?s=EQIX
EQR,1,0.01,http://finance.yahoo.com/q?s=EQR
ES,1,0.01,http://finance.yahoo.com/q?s=ES
ESS,1,0.01,http://finance.yahoo.com/q?s=ESS
ETN,1,0.01,http://finance.yahoo.com/q?s=ETN
ETR,1,0.01,http://finance.yahoo.com/q?s=ETR
ETSY,1,0.01,https://finance.yahoo.com/quote/ETSY
EVRG,1,0.01,http://finance.yahoo.com/q?s=EVRG
EW,1,0.01,http://finance.yahoo.com/q?s=EW
EXC,1,0.01,http://finance.yahoo.com/q?s=EXC
EXPD,1,0.01,http://finance.yahoo.com/q?s=expd
EXPE,1,0.01,http://finance.yahoo.com/q?s=expe
EXR,1,0.01,http://finance.yahoo.com/q?s=EXR
F,1,0.01,http://finance.yahoo.com/q?s=F
FANG,1,0.01,http://finance.yahoo.com/q?s=FANG
FAST,1,0.01,http://finance.yahoo.com/q?s=fast
FB,1,0.01,http://finance.yahoo.com/q?s=FB
FBHS,1,0.01,https://finance.yahoo.com/quote/FBHS/?p=FBHS
FCX,1,0.01,http://finance.yahoo.com/q?s=FCX
FDX,1,0.01,http://finance.yahoo.com/q?s=FDX
FE,1,0.01,http://finance.yahoo.com/q?s=FE
FFIV,1,0.01,http://finance.yahoo.com/q?s=FFIV
FIS,1,0.01,http://finance.yahoo.com/q?s=FIS
FISV,1,0.01,http://finance.yahoo.com/q?s=fisv
FITB,1,0.01,http://finance.yahoo.com/q?s=FITB
FLT,1,0.01,http://finance.yahoo.com/q?s=FLT
FMC,1,0.01,http://finance.yahoo.com/q?s=FMC
FOX,1,0.01,http://finance.yahoo.com/q?s=FOX
FOXA,1,0.01,http://finance.yahoo.com/q?s=FOXA
FRC,1,0.01,http://finance.yahoo.com/q?s=FRC
FRT,1,0.01,http://finance.yahoo.com/q?s=FRT
FTNT,1,0.01,http://finance.yahoo.com/q?s=FTNT
FTV,1,0.01,https://finance.yahoo.com/quote/FTV/?p=FTV
GD,1,0.01,http://finance.yahoo.com/q?s=GD
GE,1,0.01,http://finance.yahoo.com/q?s=ge
GILD,1,0.01,http://finance.yahoo.com/q?s=gild
GIS,1,0.01,http://finance.yahoo.com/q?s=GIS
GL,1,0.01,https://finance.yahoo.com/quote/GL
GLW,1,0.01,http://finance.yahoo.com/q?s=GLW
GM,1,0.01,http://finance.yahoo.com/q?s=gm
GNRC,1,0.01,https://finance.yahoo.com/quote/GNRC
GOOG,1,0.01,http://finance.yahoo.com/q?s=goog
GOOGL,1,0.01,http://finance.yahoo.com/q?s=GOOGL
GPC,1,0.01,http://finance.yahoo.com/q?s=GPC
GPN,1,0.01,https://finance.yahoo.com/quote/GPN/?p=GPN
GPS,1,0.01,http://finance.yahoo.com/q?s=GPS
GRMN,1,0.01,http://finance.yahoo.com/q?s=grmn
GS,1,0.01,http://finance.yahoo.com/q?s=GS
GWW,1,0.01,http://finance.yahoo.com/q?s=GWW
HAL,1,0.01,http://finance.yahoo.com/q?s=HAL
HAS,1,0.01,http://finance.yahoo.com/q?s=HAS
HBAN,1,0.01,http://finance.yahoo.com/q?s=HBAN
